label,anatomy,,,isomap_theta,,,isomap_theta_dist,,,Q
81.00,40.19,-42.52,48.35,6.42,-4.24,-6.45,1.11,-0.27,0.84,3.00
82.00,13.09,-0.61,16.61,-9.34,-4.81,0.02,-1.04,-0.96,-0.60,1.00
83.00,-26.76,12.19,55.61,-5.80,6.33,-9.61,-1.32,0.08,1.03,1.00
84.00,-29.73,-35.68,61.86,10.91,-3.18,-0.71,1.63,0.36,-0.31,3.00
85.00,-34.08,-80.96,25.65,8.48,7.54,-4.99,0.28,1.55,0.32,4.00
86.00,59.33,-0.86,25.57,6.71,-6.26,1.87,1.48,-0.35,-0.33,3.00
87.00,-58.57,-48.33,-8.62,-11.75,3.24,-2.43,-1.35,-0.98,-0.11,1.00
88.00,47.44,-52.32,-17.09,10.47,5.82,-3.73,1.53,0.79,0.41,4.00
89.00,-51.82,-2.97,-28.73,-3.79,6.21,9.66,-0.85,0.62,-1.01,2.00
90.00,35.34,-86.19,9.21,9.86,8.58,-3.75,1.45,1.50,0.39,4.00
91.00,-9.81,62.45,13.92,-8.58,5.94,5.39,-2.16,1.36,0.48,2.00
92.00,17.30,-54.98,2.86,6.68,9.85,2.96,0.89,1.76,0.30,4.00
93.00,27.82,34.94,41.33,-11.50,9.75,-4.06,-2.36,0.39,0.59,2.00
94.00,54.47,-27.96,-0.60,2.63,-2.71,8.73,0.74,-0.74,-0.88,2.00
95.00,-6.95,-92.63,1.44,8.34,10.59,0.83,0.69,1.40,0.34,4.00
96.00,1.60,56.71,-7.60,-9.94,6.97,6.53,-1.95,1.45,-0.07,2.00
97.00,30.29,6.83,-19.38,-3.73,-4.95,6.81,-0.03,-0.86,-0.90,2.00
98.00,1.85,-23.29,67.76,9.92,-3.64,2.53,1.46,0.07,-0.61,3.00
99.00,-29.19,12.70,-17.19,-7.30,-5.18,7.37,-0.66,-1.20,-0.63,2.00
100.00,42.45,49.81,-5.01,-8.75,-6.59,-5.97,-0.78,-0.95,0.56,1.00
101.00,-26.25,-73.57,40.43,1.79,7.63,-11.84,0.39,0.65,0.96,4.00
102.00,44.00,1.60,49.08,1.72,-6.42,-2.92,0.54,-1.03,0.83,1.00
103.00,-56.66,-28.38,36.42,6.90,-7.01,-4.90,1.61,-0.72,0.36,3.00
104.00,-56.95,-48.18,8.70,3.33,-1.37,6.75,0.74,-0.02,-1.02,3.00
105.00,55.25,5.50,5.25,4.54,-9.73,-0.85,1.39,-1.15,0.44,3.00
106.00,-40.18,-12.77,12.41,4.25,-7.21,6.19,1.43,-0.47,-0.40,3.00
107.00,-28.12,-37.32,-11.88,-0.20,9.28,4.06,-0.74,1.11,-0.73,2.00
108.00,0.66,-14.53,51.09,5.01,-7.42,1.96,1.41,-0.55,-0.21,3.00
109.00,28.00,44.18,-14.18,-9.54,0.02,-0.26,-1.02,-1.00,-0.64,1.00
110.00,-30.87,38.64,33.27,-11.64,-1.91,-7.10,-1.13,-1.09,0.31,1.00
111.00,30.17,18.17,52.04,-8.45,4.80,-7.45,-1.70,-0.22,1.23,1.00
112.00,60.88,-30.63,25.75,4.31,-10.03,0.72,1.48,-0.85,0.16,3.00
113.00,-44.89,-0.12,-14.83,1.69,-7.27,7.65,0.74,-0.84,-0.57,3.00
114.00,-26.00,-92.41,11.49,9.36,9.61,-3.80,1.39,1.57,0.39,4.00
115.00,29.24,-67.33,46.71,7.90,2.15,-9.13,0.77,0.81,0.28,4.00
116.00,-9.46,47.20,39.53,-11.36,8.47,3.54,-2.26,0.88,0.08,2.00
117.00,23.85,-12.88,67.12,8.80,-5.35,-2.03,1.42,-0.10,-0.07,3.00
118.00,14.82,14.69,6.75,-11.98,-3.69,1.19,-1.16,-1.05,-0.54,1.00
119.00,-14.85,-65.74,55.41,9.25,0.53,-7.12,0.78,0.34,0.80,4.00
120.00,40.24,-10.52,-4.68,1.49,-10.40,4.26,1.31,-1.05,0.15,3.00
121.00,21.65,-68.96,-11.87,11.99,8.33,-2.40,1.50,1.23,0.45,4.00
122.00,10.21,63.16,9.68,-8.46,6.86,3.98,-2.04,1.35,-0.01,2.00
123.00,54.50,-2.80,-26.20,-4.34,5.33,8.22,-0.92,1.03,-1.03,2.00
124.00,-49.85,23.54,8.77,-9.47,-1.15,0.48,-0.93,-1.14,-0.30,1.00
125.00,17.15,-89.05,21.65,9.70,9.22,-3.37,1.56,1.21,0.45,4.00
126.00,52.94,-61.12,0.97,10.94,1.83,-0.43,1.75,0.46,0.06,4.00
127.00,51.36,28.85,4.59,-3.34,-5.58,-0.70,-0.21,-1.41,0.55,1.00
128.00,-31.95,-20.69,-18.83,-0.73,6.12,7.13,-0.54,1.20,-0.89,2.00
129.00,-56.93,-10.21,4.82,4.63,-6.45,6.10,1.35,-0.56,-0.37,3.00
130.00,-8.23,-74.53,40.45,-1.51,9.86,-5.92,-0.71,1.13,0.73,4.00
131.00,1.16,-4.05,4.53,-12.07,-2.65,2.08,-1.10,-0.96,-0.51,1.00
132.00,-0.26,31.60,44.84,-11.41,-2.87,-4.76,-1.89,-0.74,0.48,1.00
133.00,-46.81,-71.48,11.57,10.39,3.26,0.48,1.05,1.06,-0.27,4.00
134.00,-44.78,27.17,25.76,-6.69,-3.32,-8.47,-1.21,-0.93,0.70,1.00
135.00,57.89,-7.12,-8.53,2.76,-2.55,8.16,0.69,-0.18,-1.05,2.00
136.00,-51.75,-13.68,39.85,8.46,-2.64,4.01,1.36,-0.16,-0.47,3.00
137.00,21.00,-11.56,-16.78,-1.53,2.44,9.25,-0.63,0.81,-0.86,2.00
138.00,-34.55,-53.05,49.17,3.82,-3.89,-8.76,0.46,-0.46,1.04,1.00
139.00,53.45,-11.15,38.81,9.67,-4.46,1.87,1.55,-0.26,-0.27,3.00
140.00,-21.50,-91.46,-12.71,9.83,9.36,0.62,0.80,1.41,0.36,4.00
141.00,-36.43,-77.53,-15.40,11.50,6.05,-1.39,1.49,0.99,0.04,4.00
142.00,-0.41,21.04,-8.64,-4.23,4.55,8.48,-0.71,0.12,-0.86,2.00
143.00,10.43,1.66,65.84,6.05,-7.58,-0.81,1.35,-0.94,0.12,3.00
144.00,9.86,-63.04,55.79,5.63,5.39,-8.66,0.27,0.65,0.86,4.00
145.00,51.47,21.25,20.57,-2.38,-7.24,-7.02,-0.10,-0.89,0.87,1.00
146.00,-54.16,7.63,17.26,2.23,-7.91,-5.87,0.97,-0.99,0.77,3.00
147.00,44.83,-64.45,38.91,-7.80,10.09,-7.14,-2.49,0.46,0.61,2.00
148.00,-26.05,52.45,22.70,-11.29,-5.34,-2.99,-1.13,-0.99,0.19,1.00
149.00,32.47,44.80,27.44,-6.98,-7.30,-3.01,-0.45,-1.25,0.52,1.00
150.00,-41.06,49.43,-3.62,-8.09,1.27,-8.70,-1.38,-0.54,0.73,1.00
151.00,32.68,-77.53,30.34,7.97,6.57,-6.89,1.19,1.57,0.43,4.00
152.00,-43.45,-37.29,48.05,8.65,-6.11,-5.76,1.34,0.09,0.44,3.00
153.00,27.82,-48.95,-13.61,9.37,7.82,1.49,1.27,1.45,0.42,4.00
154.00,-8.72,20.00,60.00,-10.58,-2.01,-3.92,-1.29,-1.26,-0.09,1.00
155.00,-1.24,-54.49,38.35,-5.26,13.57,-0.45,-2.20,1.36,0.66,2.00
156.00,30.17,-87.11,-11.16,11.23,10.71,-0.25,0.86,1.49,-0.00,4.00
157.00,-14.79,-74.07,-10.59,10.55,9.44,-0.86,1.57,1.16,0.41,4.00
158.00,26.41,1.47,-0.41,-2.93,-9.47,3.27,0.33,-1.61,-0.17,1.00
159.00,-13.91,-52.47,-1.15,5.40,10.51,2.14,0.97,1.75,0.27,4.00
160.00,55.54,-28.76,43.37,8.65,-7.38,-3.32,1.61,-0.66,0.24,3.00
161.00,45.09,13.89,-23.93,-2.58,-0.70,6.84,-0.02,-0.12,-1.21,2.00
162.00,-8.20,0.85,65.78,5.31,-6.97,-2.35,1.11,-0.90,0.37,3.00
163.00,-27.69,57.69,4.46,-8.39,2.63,-6.27,-1.81,-0.68,0.20,1.00
164.00,-47.23,5.41,2.14,1.03,-10.27,-1.54,1.06,-1.39,0.40,3.00
165.00,43.76,-24.49,15.59,6.21,-4.82,4.95,1.27,-0.34,-0.52,3.00
166.00,12.05,43.28,45.44,-10.37,9.39,0.64,-2.25,0.90,-0.04,2.00
167.00,13.22,21.65,59.11,-10.97,-4.18,-4.54,-1.09,-1.12,0.10,1.00
168.00,-18.96,-52.15,64.79,9.64,-3.94,-2.82,1.48,0.31,0.28,4.00
169.00,-27.56,-57.52,-13.72,9.39,7.89,1.47,1.21,1.37,0.42,4.00
170.00,-21.96,30.71,46.93,-8.39,10.81,-3.67,-2.13,0.93,0.35,2.00
171.00,14.61,56.78,28.83,-11.70,8.15,-0.44,-2.22,0.56,0.08,2.00
172.00,8.24,-86.35,-12.75,10.40,9.94,0.75,0.75,1.38,0.35,4.00
173.00,-46.67,14.40,-11.95,-3.50,-10.84,0.93,-0.19,-1.47,-0.32,1.00
174.00,-4.29,-52.43,57.71,7.91,0.33,-2.03,0.61,0.53,-0.65,4.00
175.00,30.61,-0.73,-36.67,2.56,0.09,9.84,0.25,0.24,-1.09,2.00
176.00,-15.53,-29.77,-19.43,-3.03,6.14,7.16,-0.55,0.81,-0.87,2.00
177.00,-43.09,-30.86,14.82,5.46,-5.34,6.10,1.18,-0.36,-0.62,3.00
