label,anatomy,,,isomap_theta,,,isomap_theta_dist,,,Q
89.00,-51.82,-2.97,-28.73,-5.16,7.54,-4.46,0.84,-0.68,-0.98,2.00
90.00,35.34,-86.19,9.21,10.74,5.89,1.29,-1.15,-1.26,0.40,3.00
91.00,-9.81,62.45,13.92,-9.95,6.74,-2.55,2.08,-0.51,-0.37,2.00
92.00,17.30,-54.98,2.86,5.89,7.35,0.60,-0.42,-1.52,-0.47,3.00
93.00,27.82,34.94,41.33,-10.69,8.90,6.89,2.26,-0.40,0.60,2.00
94.00,54.47,-27.96,-0.60,1.61,1.49,-8.17,0.12,0.86,-0.74,2.00
95.00,-6.95,-92.63,1.44,7.72,8.27,1.63,-0.86,-1.35,0.18,3.00
96.00,1.60,56.71,-7.60,-10.39,7.32,-4.37,2.11,-0.55,-0.35,2.00
97.00,30.29,6.83,-19.38,-1.77,2.87,-9.11,0.19,0.27,-1.04,2.00
98.00,1.85,-23.29,67.76,6.53,-3.12,-3.84,-1.13,0.24,-0.55,1.00
99.00,-29.19,12.70,-17.19,-7.58,-1.03,-5.54,1.04,0.57,-0.71,2.00
100.00,42.45,49.81,-5.01,-8.46,-6.91,4.35,0.88,0.61,0.82,2.00
101.00,-26.25,-73.57,40.43,10.42,1.93,9.77,-0.93,-1.29,1.08,3.00
102.00,44.00,1.60,49.08,1.92,-9.41,3.66,-0.54,0.88,0.96,1.00
103.00,-56.66,-28.38,36.42,7.43,-5.46,0.64,-1.72,0.54,0.42,1.00
104.00,-56.95,-48.18,8.70,2.75,-1.47,-5.98,-0.74,0.66,-0.57,1.00
105.00,55.25,5.50,5.25,2.34,-8.27,-1.67,-1.29,0.78,0.40,1.00
106.00,-40.18,-12.77,12.41,3.15,-4.57,-7.18,-1.13,0.35,-0.52,1.00
107.00,-28.12,-37.32,-11.88,0.31,10.31,0.54,0.64,-1.29,-0.62,3.00
108.00,0.66,-14.53,51.09,5.38,-6.45,-3.02,-1.34,0.54,-0.29,1.00
109.00,28.00,44.18,-14.18,-9.72,-3.60,-0.53,1.03,1.02,-0.20,2.00
110.00,-30.87,38.64,33.27,-8.24,-6.84,3.72,0.77,1.19,0.29,2.00
111.00,30.17,18.17,52.04,-6.71,4.94,11.16,1.95,-0.08,1.14,2.00
112.00,60.88,-30.63,25.75,6.43,-6.20,-2.55,-1.65,0.50,0.13,1.00
113.00,-44.89,-0.12,-14.83,2.88,-0.87,-7.38,-0.52,0.47,-0.76,1.00
114.00,-26.00,-92.41,11.49,10.61,5.89,2.10,-1.13,-1.26,0.37,3.00
115.00,29.24,-67.33,46.71,7.40,2.86,10.50,-1.22,-1.30,0.72,3.00
116.00,-9.46,47.20,39.53,-12.54,8.52,-2.12,2.60,-0.50,0.09,2.00
117.00,23.85,-12.88,67.12,6.42,-3.41,-0.30,-1.49,0.34,-0.10,1.00
118.00,14.82,14.69,6.75,-6.10,-4.20,-1.06,1.06,0.83,-0.19,2.00
119.00,-14.85,-65.74,55.41,9.77,-3.76,6.11,-1.36,-0.42,0.95,3.00
120.00,40.24,-10.52,-4.68,2.50,-5.84,-4.61,-1.25,0.85,-0.18,1.00
121.00,21.65,-68.96,-11.87,10.05,6.27,0.66,-1.32,-1.32,0.09,3.00
122.00,10.21,63.16,9.68,-9.46,9.48,-0.80,2.30,-0.73,-0.13,2.00
123.00,54.50,-2.80,-26.20,-3.69,8.94,-2.18,0.93,-0.57,-0.88,2.00
124.00,-49.85,23.54,8.77,-9.03,-0.68,-2.58,1.25,0.76,-0.24,2.00
125.00,17.15,-89.05,21.65,10.39,8.43,2.13,-1.29,-1.35,0.41,3.00
126.00,52.94,-61.12,0.97,10.46,-2.40,1.15,-1.68,-0.35,-0.07,3.00
127.00,51.36,28.85,4.59,-2.68,-9.55,-0.53,0.22,1.40,0.13,2.00
128.00,-31.95,-20.69,-18.83,-0.78,5.51,-4.50,1.00,-0.72,-0.92,2.00
129.00,-56.93,-10.21,4.82,3.95,-4.43,-6.15,-1.30,0.45,-0.53,1.00
130.00,-8.23,-74.53,40.45,1.27,5.15,7.51,0.65,-1.35,0.66,3.00
131.00,1.16,-4.05,4.53,-7.46,-0.55,-3.37,0.94,0.58,-0.42,2.00
132.00,-0.26,31.60,44.84,-11.14,-2.99,2.34,1.95,0.69,0.71,2.00
133.00,-46.81,-71.48,11.57,7.07,3.46,-2.56,-1.39,-0.84,-0.18,3.00
134.00,-44.78,27.17,25.76,-7.62,-7.84,7.17,0.70,1.12,0.71,2.00
135.00,57.89,-7.12,-8.53,4.52,-1.67,-9.51,-0.29,0.71,-0.97,1.00
136.00,-51.75,-13.68,39.85,7.00,-1.76,-3.26,-1.51,0.12,-0.42,1.00
137.00,21.00,-11.56,-16.78,0.39,4.70,-5.27,0.39,-0.60,-0.85,2.00
138.00,-34.55,-53.05,49.17,4.12,-7.84,10.83,-1.16,0.10,1.58,1.00
139.00,53.45,-11.15,38.81,8.74,-2.59,-1.00,-1.63,0.09,-0.18,1.00
140.00,-21.50,-91.46,-12.71,12.22,7.54,1.22,-0.91,-1.33,0.11,3.00
141.00,-36.43,-77.53,-15.40,10.07,6.54,1.90,-1.19,-1.27,0.15,3.00
142.00,-0.41,21.04,-8.64,-3.59,3.55,-5.52,0.82,-0.19,-0.75,2.00
143.00,10.43,1.66,65.84,6.01,-5.64,-0.35,-1.49,0.67,0.11,1.00
144.00,9.86,-63.04,55.79,7.51,1.74,6.20,-0.83,-1.13,0.88,3.00
145.00,51.47,21.25,20.57,-0.92,-10.46,7.86,-0.40,1.23,0.93,1.00
146.00,-54.16,7.63,17.26,2.16,-8.53,2.34,-1.19,0.92,0.23,1.00
147.00,44.83,-64.45,38.91,-10.98,7.49,10.94,2.52,-0.40,0.22,2.00
148.00,-26.05,52.45,22.70,-9.59,-3.77,-1.16,1.09,0.94,0.08,2.00
149.00,32.47,44.80,27.44,-2.91,-6.73,1.24,0.21,1.01,1.01,1.00
150.00,-41.06,49.43,-3.62,-10.21,-6.82,5.68,1.35,0.75,0.61,2.00
151.00,32.68,-77.53,30.34,10.69,5.26,4.67,-0.90,-1.21,0.83,3.00
152.00,-43.45,-37.29,48.05,5.82,-6.63,3.40,-1.22,0.41,0.92,1.00
153.00,27.82,-48.95,-13.61,7.15,6.93,0.50,-0.97,-1.39,-0.10,3.00
154.00,-8.72,20.00,60.00,-10.18,-4.72,1.67,1.15,0.79,0.15,2.00
155.00,-1.24,-54.49,38.35,-8.96,12.10,3.72,2.53,-0.52,-0.09,2.00
156.00,30.17,-87.11,-11.16,12.55,7.28,1.23,-0.81,-1.39,0.16,3.00
157.00,-14.79,-74.07,-10.59,9.78,7.49,0.65,-1.33,-1.22,0.21,3.00
158.00,26.41,1.47,-0.41,-0.46,-7.43,-3.65,-0.49,1.23,0.08,1.00
159.00,-13.91,-52.47,-1.15,3.15,7.64,1.30,-0.61,-1.71,-0.50,3.00
160.00,55.54,-28.76,43.37,6.36,-6.34,0.95,-1.82,0.32,0.48,1.00
161.00,45.09,13.89,-23.93,-1.48,3.78,-5.68,0.75,-0.02,-1.04,2.00
162.00,-8.20,0.85,65.78,4.27,-5.96,-0.77,-1.29,0.61,0.15,1.00
163.00,-27.69,57.69,4.46,-15.05,-3.24,4.97,1.54,0.67,0.92,2.00
164.00,-47.23,5.41,2.14,1.61,-9.38,-1.34,-1.02,0.99,0.19,1.00
165.00,43.76,-24.49,15.59,4.17,-4.72,-6.54,-1.07,0.37,-0.49,1.00
166.00,12.05,43.28,45.44,-11.83,6.95,-2.26,2.72,-0.48,0.69,2.00
167.00,13.22,21.65,59.11,-8.07,-8.26,-0.58,1.27,0.98,0.30,2.00
168.00,-18.96,-52.15,64.79,7.34,-3.53,2.85,-1.62,0.08,0.25,1.00
169.00,-27.56,-57.52,-13.72,7.60,6.57,0.88,-1.06,-1.31,-0.04,3.00
170.00,-21.96,30.71,46.93,-10.65,7.67,5.96,2.31,-0.53,0.56,2.00
171.00,14.61,56.78,28.83,-12.05,8.29,0.43,2.45,-0.86,0.38,2.00
172.00,8.24,-86.35,-12.75,10.11,8.65,2.47,-0.39,-1.50,0.70,3.00
173.00,-46.67,14.40,-11.95,-3.42,-5.47,-5.08,-0.03,1.07,-0.60,2.00
174.00,-4.29,-52.43,57.71,4.88,-0.09,2.99,-0.86,-0.35,-0.61,3.00
175.00,30.61,-0.73,-36.67,2.80,2.63,-4.96,-0.29,0.37,-0.99,2.00
176.00,-15.53,-29.77,-19.43,-2.25,8.51,-3.73,0.77,-0.78,-0.83,2.00
177.00,-43.09,-30.86,14.82,4.80,-3.97,-6.93,-1.11,0.40,-0.58,1.00
