label,anatomy,,,isomap_theta,,,isomap_theta_dist,,,Q
57.00,12.34,-44.19,67.43,-7.27,2.57,0.61,-1.20,-0.25,-0.68,1.00
58.00,61.12,-16.75,11.97,-6.40,7.10,3.63,-1.68,0.73,-0.11,1.00
59.00,-28.08,1.33,3.11,0.53,8.34,1.33,-0.98,1.00,-0.23,1.00
60.00,59.31,-43.62,10.28,-0.65,3.45,6.40,-0.75,0.36,-0.81,1.00
61.00,-11.79,-70.02,5.81,-7.69,-8.33,4.45,-1.16,-1.21,-0.24,2.00
62.00,29.21,25.03,-15.45,12.11,0.64,2.47,1.76,0.95,-0.15,3.00
63.00,-57.15,-14.60,-16.00,4.62,-7.95,6.31,1.19,-0.39,-0.76,3.00
64.00,-43.32,1.48,47.52,7.78,2.23,-8.36,0.58,0.89,0.47,3.00
65.00,-44.77,33.40,-8.63,11.55,2.70,-2.39,1.73,0.38,0.55,3.00
66.00,31.04,55.25,14.24,9.40,3.77,-4.47,1.37,0.81,0.60,3.00
67.00,-8.43,-32.98,45.06,-3.68,4.79,1.80,-1.14,0.24,-0.92,1.00
68.00,-41.50,13.56,-28.19,6.95,-0.84,7.98,0.95,0.28,-1.10,3.00
69.00,0.16,0.33,41.51,-2.79,8.42,1.88,-1.67,0.91,0.15,1.00
70.00,13.42,-77.19,38.55,-10.44,-7.90,-6.50,-0.50,-1.61,0.53,2.00
71.00,-43.02,-66.47,39.74,10.54,-10.12,-4.77,2.86,-0.79,-0.01,3.00
72.00,46.80,7.96,-10.09,0.10,6.77,3.22,-1.28,0.91,-0.41,1.00
73.00,-13.09,6.00,13.55,9.92,6.19,-0.42,1.66,0.57,0.45,3.00
74.00,46.34,-72.94,15.42,-11.08,-7.13,-3.52,-1.15,-1.37,0.27,2.00
75.00,37.05,-12.25,-26.46,-1.78,-6.92,6.79,0.49,-0.41,-1.25,2.00
76.00,-58.51,-7.82,25.49,-6.88,2.98,5.43,-1.32,0.19,-0.58,1.00
77.00,7.83,-73.81,5.75,-9.41,-8.43,-0.52,-1.57,-1.10,0.20,2.00
78.00,-17.50,-15.59,69.64,-5.79,3.52,1.60,-1.12,-0.02,-0.44,1.00
79.00,0.15,52.25,25.87,10.26,-6.23,3.92,2.67,-0.64,0.17,3.00
80.00,-19.22,-6.49,-16.29,2.45,1.37,9.49,0.32,0.42,-0.88,1.00
81.00,40.19,-42.52,48.35,-7.41,3.94,-6.23,-1.81,0.41,0.71,1.00
82.00,13.09,-0.61,16.61,7.58,3.43,0.26,1.34,0.70,0.04,3.00
83.00,-26.76,12.19,55.61,5.73,-0.87,-9.39,1.29,-0.83,1.15,3.00
84.00,-29.73,-35.68,61.86,-6.81,1.24,3.47,-1.36,-0.08,-0.43,1.00
85.00,-34.08,-80.96,25.65,-10.11,-7.77,-5.30,-0.93,-1.72,0.65,2.00
86.00,59.33,-0.86,25.57,-8.16,4.47,0.82,-1.53,0.10,-0.28,1.00
87.00,-58.57,-48.33,-8.62,8.95,-0.03,-6.66,1.17,0.39,0.48,3.00
88.00,47.44,-52.32,-17.09,-10.40,-2.95,-2.23,-1.61,-0.61,0.63,2.00
89.00,-51.82,-2.97,-28.73,6.72,-7.36,4.87,1.42,-0.49,-0.48,3.00
90.00,35.34,-86.19,9.21,-12.79,-4.55,-2.57,-1.45,-1.15,0.53,2.00
91.00,-9.81,62.45,13.92,10.64,-6.70,4.05,2.42,-0.41,-0.48,3.00
92.00,17.30,-54.98,2.86,-8.65,-10.10,2.06,-1.00,-1.58,0.09,2.00
93.00,27.82,34.94,41.33,10.86,-10.13,-6.02,2.30,-0.46,-0.09,3.00
94.00,54.47,-27.96,-0.60,-0.35,1.69,8.44,-0.29,0.68,-0.99,1.00
95.00,-6.95,-92.63,1.44,-11.06,-6.89,0.71,-1.39,-1.27,0.13,2.00
96.00,1.60,56.71,-7.60,8.58,-9.72,3.08,2.28,-1.32,-0.13,3.00
97.00,30.29,6.83,-19.38,3.36,0.97,9.83,0.30,0.47,-0.82,1.00
98.00,1.85,-23.29,67.76,-6.69,4.60,4.36,-0.99,0.09,-0.62,1.00
99.00,-29.19,12.70,-17.19,10.40,3.39,4.77,1.63,0.92,-0.29,3.00
100.00,42.45,49.81,-5.01,5.24,4.81,-5.52,1.03,0.79,0.72,3.00
101.00,-26.25,-73.57,40.43,-11.47,-5.73,-9.51,-1.04,-1.19,1.00,2.00
102.00,44.00,1.60,49.08,-3.71,6.99,-3.75,-1.03,0.91,0.83,1.00
103.00,-56.66,-28.38,36.42,-6.40,6.15,-1.43,-1.63,0.57,0.18,1.00
104.00,-56.95,-48.18,8.70,-1.83,3.99,5.97,-0.38,0.36,-0.69,1.00
105.00,55.25,5.50,5.25,-1.87,9.17,0.51,-1.48,0.91,0.13,1.00
106.00,-40.18,-12.77,12.41,-4.40,5.01,6.46,-1.50,0.53,-0.61,1.00
107.00,-28.12,-37.32,-11.88,1.68,-7.73,5.87,0.88,-1.12,-0.38,2.00
108.00,0.66,-14.53,51.09,-5.77,7.51,1.87,-1.55,0.79,-0.15,1.00
109.00,28.00,44.18,-14.18,10.27,3.48,-3.00,1.23,0.88,0.31,3.00
110.00,-30.87,38.64,33.27,8.50,5.87,-4.35,0.65,1.09,0.82,3.00
111.00,30.17,18.17,52.04,6.47,-8.61,-6.65,2.07,-0.37,0.60,3.00
112.00,60.88,-30.63,25.75,-6.11,7.20,1.99,-1.70,0.50,-0.15,1.00
113.00,-44.89,-0.12,-14.83,-1.25,2.93,8.26,-1.02,0.45,-0.77,1.00
114.00,-26.00,-92.41,11.49,-12.75,-4.80,-2.14,-1.41,-1.21,0.57,2.00
115.00,29.24,-67.33,46.71,-11.69,-1.53,-7.42,-1.44,-1.59,0.69,2.00
116.00,-9.46,47.20,39.53,12.94,-7.92,-0.28,2.75,-0.39,0.07,3.00
117.00,23.85,-12.88,67.12,-5.86,3.87,1.09,-1.25,0.21,-0.32,1.00
118.00,14.82,14.69,6.75,8.27,3.69,1.19,1.46,0.78,0.18,3.00
119.00,-14.85,-65.74,55.41,-7.93,-3.08,-7.07,-1.49,-0.94,0.88,2.00
120.00,40.24,-10.52,-4.68,-2.34,6.70,3.89,-1.36,0.82,-0.11,1.00
121.00,21.65,-68.96,-11.87,-10.97,-4.51,1.15,-1.77,-0.88,0.29,2.00
122.00,10.21,63.16,9.68,9.07,-8.92,3.03,2.55,-0.80,-0.25,3.00
123.00,54.50,-2.80,-26.20,6.04,-7.86,6.29,1.28,-0.31,-0.87,3.00
124.00,-49.85,23.54,8.77,11.27,0.99,-0.65,1.19,0.89,0.54,3.00
125.00,17.15,-89.05,21.65,-10.71,-4.11,-3.38,-1.67,-1.00,0.56,2.00
126.00,52.94,-61.12,0.97,-10.75,1.26,-0.32,-1.81,-0.08,-0.23,2.00
127.00,51.36,28.85,4.59,4.17,7.79,0.14,0.39,0.91,0.67,3.00
128.00,-31.95,-20.69,-18.83,1.84,-9.68,6.77,0.98,-0.68,-1.07,2.00
129.00,-56.93,-10.21,4.82,-5.07,7.54,5.86,-1.67,0.66,-0.44,1.00
130.00,-8.23,-74.53,40.45,-2.52,-7.54,-6.17,0.38,-1.48,0.32,2.00
131.00,1.16,-4.05,4.53,6.84,4.15,0.97,1.27,0.71,-0.39,3.00
132.00,-0.26,31.60,44.84,11.71,3.71,-5.30,2.11,-0.07,1.06,3.00
133.00,-46.81,-71.48,11.57,-8.36,-1.85,1.81,-1.40,-0.37,-0.59,2.00
134.00,-44.78,27.17,25.76,5.24,2.90,-9.87,1.08,0.90,0.92,3.00
135.00,57.89,-7.12,-8.53,-0.96,4.64,10.10,-0.83,0.26,-0.95,1.00
136.00,-51.75,-13.68,39.85,-7.04,1.83,4.33,-1.41,0.05,-0.50,1.00
137.00,21.00,-11.56,-16.78,1.25,-5.10,7.12,0.64,-0.07,-0.83,1.00
138.00,-34.55,-53.05,49.17,-6.24,1.91,-10.77,-1.53,0.05,0.85,1.00
139.00,53.45,-11.15,38.81,-7.83,4.61,3.31,-1.55,0.05,-0.38,1.00
140.00,-21.50,-91.46,-12.71,-13.01,-4.49,-2.27,-1.49,-1.06,0.08,2.00
141.00,-36.43,-77.53,-15.40,-11.17,-4.05,-2.23,-1.51,-0.79,0.37,2.00
142.00,-0.41,21.04,-8.64,3.82,-7.72,5.27,0.83,-0.22,-0.57,3.00
143.00,10.43,1.66,65.84,-4.31,9.23,2.71,-1.59,0.93,0.31,1.00
144.00,9.86,-63.04,55.79,-9.72,-2.76,-7.73,-0.69,-1.24,0.21,2.00
145.00,51.47,21.25,20.57,1.03,7.97,-6.03,-0.07,0.86,0.89,3.00
146.00,-54.16,7.63,17.26,-1.36,7.45,-3.01,-0.80,1.21,0.61,1.00
147.00,44.83,-64.45,38.91,5.14,-9.34,-8.76,2.37,-0.49,-0.41,3.00
148.00,-26.05,52.45,22.70,11.36,4.52,-1.17,1.46,0.78,0.46,3.00
149.00,32.47,44.80,27.44,2.17,7.28,-5.88,0.69,1.16,0.88,3.00
150.00,-41.06,49.43,-3.62,4.35,2.66,-10.30,1.46,0.50,0.79,3.00
151.00,32.68,-77.53,30.34,-11.79,-2.95,-5.72,-1.46,-1.52,0.53,2.00
152.00,-43.45,-37.29,48.05,-7.77,4.21,-1.15,-1.47,0.42,0.38,1.00
153.00,27.82,-48.95,-13.61,-9.98,-6.90,0.94,-1.45,-1.22,0.48,2.00
154.00,-8.72,20.00,60.00,11.20,4.24,-1.18,1.54,0.56,0.05,3.00
155.00,-1.24,-54.49,38.35,9.16,-13.15,-1.95,2.13,-1.38,-0.07,3.00
156.00,30.17,-87.11,-11.16,-13.31,-4.73,-3.38,-1.30,-1.32,0.10,2.00
157.00,-14.79,-74.07,-10.59,-10.93,-4.21,1.20,-1.79,-0.71,0.14,2.00
158.00,26.41,1.47,-0.41,1.58,8.07,1.80,-0.73,0.85,-0.57,1.00
159.00,-13.91,-52.47,-1.15,-5.23,-10.50,3.00,-0.49,-1.57,-0.20,2.00
160.00,55.54,-28.76,43.37,-7.77,5.25,-1.88,-1.56,0.52,0.10,1.00
161.00,45.09,13.89,-23.93,5.22,-2.83,8.48,0.85,0.32,-1.13,3.00
162.00,-8.20,0.85,65.78,-4.26,7.47,-0.11,-1.38,0.85,0.38,1.00
163.00,-27.69,57.69,4.46,10.88,1.35,-10.00,1.51,-0.01,0.94,3.00
164.00,-47.23,5.41,2.14,-0.94,9.86,-0.43,-1.10,0.95,0.14,1.00
165.00,43.76,-24.49,15.59,-3.83,8.13,5.26,-1.31,0.46,-0.67,1.00
166.00,12.05,43.28,45.44,12.62,-7.96,-0.69,2.59,-0.69,0.16,3.00
167.00,13.22,21.65,59.11,8.11,4.37,-5.86,1.25,0.88,0.43,3.00
168.00,-18.96,-52.15,64.79,-8.15,2.32,-1.45,-1.75,0.17,-0.06,1.00
169.00,-27.56,-57.52,-13.72,-10.26,-6.68,0.87,-1.46,-1.07,0.29,2.00
170.00,-21.96,30.71,46.93,9.73,-10.94,-6.35,2.26,-0.76,0.03,3.00
171.00,14.61,56.78,28.83,12.82,-6.50,-2.41,2.73,-0.28,0.08,3.00
172.00,8.24,-86.35,-12.75,-13.45,-5.41,-3.42,-1.07,-1.41,0.49,2.00
173.00,-46.67,14.40,-11.95,5.34,6.58,2.13,-0.35,1.07,-0.32,1.00
174.00,-4.29,-52.43,57.71,-5.94,-0.68,-1.58,-1.30,-0.47,-0.29,2.00
175.00,30.61,-0.73,-36.67,-1.07,-1.42,6.31,-0.39,0.21,-1.48,1.00
176.00,-15.53,-29.77,-19.43,1.14,-9.36,6.25,0.74,-0.57,-0.80,2.00
177.00,-43.09,-30.86,14.82,-3.96,6.35,7.63,-1.44,0.55,-0.64,1.00
