label,anatomy,,,isomap_theta,,,isomap_theta_dist,,,Q
63.00,-57.15,-14.60,-16.00,3.33,1.35,-9.70,-0.61,-0.41,1.39,4.00
64.00,-43.32,1.48,47.52,-1.54,5.62,9.14,-0.02,0.51,-0.82,1.00
65.00,-44.77,33.40,-8.63,9.51,6.21,-3.97,-1.22,0.76,-0.04,1.00
66.00,31.04,55.25,14.24,7.82,2.69,3.38,-0.96,0.51,-0.70,1.00
67.00,-8.43,-32.98,45.06,-6.00,4.50,0.45,0.63,0.22,0.82,3.00
68.00,-41.50,13.56,-28.19,3.76,1.16,-9.73,-0.47,0.39,0.97,4.00
69.00,0.16,0.33,41.51,-4.41,6.12,-2.07,1.39,0.80,-0.04,3.00
70.00,13.42,-77.19,38.55,-6.70,-4.16,1.88,0.67,-1.06,-0.13,2.00
71.00,-43.02,-66.47,39.74,8.36,-12.58,5.14,-2.65,-0.80,0.08,4.00
72.00,46.80,7.96,-10.09,-1.14,8.78,-2.94,0.33,1.19,-0.16,3.00
73.00,-13.09,6.00,13.55,11.21,2.43,0.14,-1.27,0.86,-0.27,1.00
74.00,46.34,-72.94,15.42,-8.92,-6.46,0.75,0.91,-1.01,0.13,2.00
75.00,37.05,-12.25,-26.46,2.54,-0.18,-9.60,0.01,-0.17,1.09,4.00
76.00,-58.51,-7.82,25.49,-9.20,4.77,-2.96,1.25,0.48,0.14,3.00
77.00,7.83,-73.81,5.75,-7.94,-7.98,-0.22,0.88,-1.11,0.06,2.00
78.00,-17.50,-15.59,69.64,-7.79,4.84,1.74,1.40,0.33,0.34,3.00
79.00,0.15,52.25,25.87,12.74,-9.89,-0.00,-2.57,-0.51,-0.01,4.00
80.00,-19.22,-6.49,-16.29,0.03,3.83,-9.60,-0.03,0.69,0.78,4.00
81.00,40.19,-42.52,48.35,-8.05,2.60,9.67,0.83,-0.17,-1.14,3.00
82.00,13.09,-0.61,16.61,11.55,0.86,-1.42,-1.28,0.53,-0.07,1.00
83.00,-26.76,12.19,55.61,10.06,-0.59,10.70,-0.99,-0.46,-0.81,1.00
84.00,-29.73,-35.68,61.86,-8.89,2.50,1.46,1.61,0.12,-0.12,3.00
85.00,-34.08,-80.96,25.65,-7.39,-7.04,2.22,0.98,-1.34,-0.32,2.00
86.00,59.33,-0.86,25.57,-7.76,5.15,1.43,1.30,0.40,-0.05,3.00
87.00,-58.57,-48.33,-8.62,12.80,-0.54,3.10,-1.34,0.40,-0.25,1.00
88.00,47.44,-52.32,-17.09,-12.12,-4.56,0.85,1.21,-0.83,-0.25,2.00
89.00,-51.82,-2.97,-28.73,1.99,-2.24,-11.76,-0.34,-0.49,1.05,4.00
90.00,35.34,-86.19,9.21,-10.25,-8.39,1.88,1.15,-1.09,-0.14,2.00
91.00,-9.81,62.45,13.92,12.38,-10.18,0.98,-2.02,-0.53,0.39,4.00
92.00,17.30,-54.98,2.86,-8.62,-6.20,-0.76,0.85,-1.18,0.28,2.00
93.00,27.82,34.94,41.33,8.74,-11.01,4.23,-2.20,-0.19,-0.39,4.00
94.00,54.47,-27.96,-0.60,-0.03,5.14,-9.58,0.55,0.71,0.88,4.00
95.00,-6.95,-92.63,1.44,-8.18,-7.90,-1.03,0.82,-1.11,-0.09,2.00
96.00,1.60,56.71,-7.60,10.64,-9.91,-0.53,-2.42,-0.38,0.61,4.00
97.00,30.29,6.83,-19.38,4.16,5.18,-6.87,-0.42,0.88,0.68,4.00
98.00,1.85,-23.29,67.76,-8.68,4.11,-1.92,1.00,0.34,0.59,3.00
99.00,-29.19,12.70,-17.19,7.21,2.75,-4.89,-1.02,0.98,0.30,4.00
100.00,42.45,49.81,-5.01,5.60,5.00,5.69,-0.81,0.58,-0.80,1.00
101.00,-26.25,-73.57,40.43,-9.60,-1.89,8.95,0.56,-1.27,-0.64,2.00
102.00,44.00,1.60,49.08,-5.03,7.73,5.47,0.69,0.57,-0.80,1.00
103.00,-56.66,-28.38,36.42,-8.18,4.59,3.08,1.41,0.06,-0.65,3.00
104.00,-56.95,-48.18,8.70,-3.41,5.12,-5.35,1.15,0.49,0.75,3.00
105.00,55.25,5.50,5.25,-3.31,8.16,1.19,1.18,1.05,-0.40,3.00
106.00,-40.18,-12.77,12.41,-5.95,5.88,-5.27,1.06,0.65,0.53,3.00
107.00,-28.12,-37.32,-11.88,1.10,-4.75,-8.41,-0.10,-0.87,0.77,4.00
108.00,0.66,-14.53,51.09,-6.89,5.38,-1.48,1.20,0.57,0.17,3.00
109.00,28.00,44.18,-14.18,9.60,4.47,2.25,-0.89,0.61,0.01,1.00
110.00,-30.87,38.64,33.27,9.20,4.09,6.58,-0.96,0.37,-0.72,1.00
111.00,30.17,18.17,52.04,13.97,-2.09,7.33,-1.91,-0.58,-0.85,1.00
112.00,60.88,-30.63,25.75,-8.73,5.80,-1.32,1.89,0.61,0.01,3.00
113.00,-44.89,-0.12,-14.83,-3.77,4.53,-8.50,0.56,0.76,0.77,3.00
114.00,-26.00,-92.41,11.49,-10.44,-7.68,1.40,1.14,-1.03,-0.15,2.00
115.00,29.24,-67.33,46.71,-5.52,-8.09,4.91,0.95,-1.19,-0.71,2.00
116.00,-9.46,47.20,39.53,14.98,-9.93,2.58,-2.41,-0.32,0.27,4.00
117.00,23.85,-12.88,67.12,-8.24,4.45,2.05,1.23,0.15,0.47,3.00
118.00,14.82,14.69,6.75,9.34,3.79,-0.78,-1.06,0.56,0.31,1.00
119.00,-14.85,-65.74,55.41,-10.09,-2.23,9.45,0.99,-1.21,-0.51,2.00
120.00,40.24,-10.52,-4.68,-0.85,7.06,-4.29,0.86,0.85,0.33,3.00
121.00,21.65,-68.96,-11.87,-10.16,-6.86,-1.06,1.36,-0.87,-0.19,2.00
122.00,10.21,63.16,9.68,8.90,-8.05,-1.20,-2.42,-0.37,0.34,4.00
123.00,54.50,-2.80,-26.20,3.49,1.35,-10.57,-0.58,-0.33,1.33,4.00
124.00,-49.85,23.54,8.77,9.36,4.23,3.53,-0.84,0.72,0.08,1.00
125.00,17.15,-89.05,21.65,-10.41,-5.57,3.07,1.22,-1.08,0.12,2.00
126.00,52.94,-61.12,0.97,-11.87,2.36,0.42,1.56,-0.43,-0.05,2.00
127.00,51.36,28.85,4.59,4.09,7.58,0.79,-0.47,0.90,-0.32,1.00
128.00,-31.95,-20.69,-18.83,0.27,-0.44,-11.80,-0.37,-0.51,1.06,4.00
129.00,-56.93,-10.21,4.82,-6.15,5.77,-5.15,1.46,0.69,0.39,3.00
130.00,-8.23,-74.53,40.45,-2.26,-8.76,0.04,-0.23,-0.98,-0.20,2.00
131.00,1.16,-4.05,4.53,11.52,-1.31,-2.32,-1.50,0.34,0.04,1.00
132.00,-0.26,31.60,44.84,12.78,4.81,4.53,-1.70,0.06,-0.62,1.00
133.00,-46.81,-71.48,11.57,-9.15,-2.14,0.71,1.32,-0.44,0.32,2.00
134.00,-44.78,27.17,25.76,4.86,4.30,8.22,-0.94,-0.18,-1.15,1.00
135.00,57.89,-7.12,-8.53,-1.88,5.42,-6.63,0.53,0.83,0.80,4.00
136.00,-51.75,-13.68,39.85,-8.13,3.87,-2.58,1.35,0.45,0.25,3.00
137.00,21.00,-11.56,-16.78,1.15,-1.45,-10.13,-0.40,0.10,1.04,4.00
138.00,-34.55,-53.05,49.17,-2.74,0.38,14.42,-0.17,-0.47,-1.07,1.00
139.00,53.45,-11.15,38.81,-9.03,3.85,-0.16,1.60,0.37,0.05,3.00
140.00,-21.50,-91.46,-12.71,-11.71,-10.08,0.85,1.07,-1.23,-0.05,2.00
141.00,-36.43,-77.53,-15.40,-11.24,-7.80,2.00,1.15,-0.90,-0.13,2.00
142.00,-0.41,21.04,-8.64,1.79,-1.99,-11.94,-0.14,-0.01,0.73,4.00
143.00,10.43,1.66,65.84,-5.96,6.27,2.18,1.32,0.67,-0.33,3.00
144.00,9.86,-63.04,55.79,-8.83,-6.82,4.47,0.45,-1.02,-0.80,2.00
145.00,51.47,21.25,20.57,2.94,5.88,8.49,-0.02,0.56,-0.83,1.00
146.00,-54.16,7.63,17.26,-4.56,7.19,3.68,1.22,0.57,-0.78,3.00
147.00,44.83,-64.45,38.91,9.10,-11.67,4.74,-2.57,-0.65,-0.21,4.00
148.00,-26.05,52.45,22.70,6.96,3.10,3.82,-0.96,0.74,-0.36,1.00
149.00,32.47,44.80,27.44,3.23,2.67,2.54,-0.52,0.62,-0.60,1.00
150.00,-41.06,49.43,-3.62,8.71,5.49,8.46,-1.13,0.06,-1.21,1.00
151.00,32.68,-77.53,30.34,-11.16,-2.70,4.74,1.28,-1.17,-0.45,2.00
152.00,-43.45,-37.29,48.05,-7.68,4.69,6.34,1.33,-0.03,-0.80,3.00
153.00,27.82,-48.95,-13.61,-9.38,-6.89,-0.45,0.99,-1.02,0.30,2.00
154.00,-8.72,20.00,60.00,9.49,4.34,4.30,-0.93,0.65,0.13,1.00
155.00,-1.24,-54.49,38.35,6.78,-12.38,-1.64,-2.52,-0.63,0.35,4.00
156.00,30.17,-87.11,-11.16,-12.60,-7.96,-0.26,0.82,-1.11,-0.06,2.00
157.00,-14.79,-74.07,-10.59,-9.97,-7.41,-1.48,1.19,-0.94,-0.06,2.00
158.00,26.41,1.47,-0.41,2.62,7.61,0.80,-0.14,1.10,-0.32,1.00
159.00,-13.91,-52.47,-1.15,-5.52,-10.22,-2.97,0.43,-1.14,0.57,2.00
160.00,55.54,-28.76,43.37,-8.85,3.77,4.25,1.63,-0.00,-0.50,3.00
161.00,45.09,13.89,-23.93,3.52,1.32,-9.90,-0.71,0.42,1.02,4.00
162.00,-8.20,0.85,65.78,-5.54,7.09,0.32,0.95,0.70,-0.38,3.00
163.00,-27.69,57.69,4.46,13.14,3.21,5.16,-1.30,0.02,-0.67,1.00
164.00,-47.23,5.41,2.14,-1.60,7.08,-0.61,0.89,1.07,-0.43,3.00
165.00,43.76,-24.49,15.59,-5.32,6.75,-6.80,1.10,0.63,0.54,3.00
166.00,12.05,43.28,45.44,13.29,-6.28,1.62,-2.65,-0.43,-0.06,4.00
167.00,13.22,21.65,59.11,8.36,4.94,2.60,-0.69,0.57,-0.34,1.00
168.00,-18.96,-52.15,64.79,-10.41,1.04,4.64,1.45,-0.43,-0.42,2.00
169.00,-27.56,-57.52,-13.72,-9.31,-8.13,-0.14,1.08,-1.02,0.20,2.00
170.00,-21.96,30.71,46.93,9.03,-9.40,7.99,-2.58,-0.51,-0.14,4.00
171.00,14.61,56.78,28.83,12.62,-4.38,-2.26,-2.23,-0.18,-0.14,4.00
172.00,8.24,-86.35,-12.75,-10.66,-8.55,2.35,0.89,-1.26,-0.45,2.00
173.00,-46.67,14.40,-11.95,2.33,5.49,-1.90,-0.10,1.06,0.12,1.00
174.00,-4.29,-52.43,57.71,-6.72,-3.38,1.63,1.20,-0.46,0.04,2.00
175.00,30.61,-0.73,-36.67,-0.94,-0.76,-9.61,0.45,0.24,0.85,4.00
176.00,-15.53,-29.77,-19.43,2.50,-6.21,-9.86,-0.09,-0.42,1.03,4.00
177.00,-43.09,-30.86,14.82,-4.92,6.26,-7.64,1.07,0.67,0.51,3.00
