label,anatomy,,,Q,PACE
43.00,61.26,-20.23,-16.23,3.00,13.00
44.00,-28.71,-6.18,57.29,2.00,3.00
45.00,44.42,30.37,-10.37,1.00,12.00
46.00,-6.10,-86.69,24.56,4.00,5.00
47.00,0.51,17.03,32.16,1.00,4.00
48.00,-52.29,-50.05,41.71,1.00,9.00
49.00,-28.44,32.00,-15.56,1.00,12.00
50.00,1.20,-52.23,14.72,3.00,14.00
51.00,36.07,18.09,3.12,1.00,4.00
52.00,42.73,-19.48,53.20,2.00,1.00
53.00,-39.36,21.01,41.71,1.00,9.00
54.00,33.29,-30.79,-16.75,3.00,15.00
55.00,-43.92,-52.08,-19.28,4.00,8.00
56.00,28.25,-0.34,56.21,2.00,3.00
57.00,12.34,-44.19,67.43,2.00,1.00
58.00,61.12,-16.75,11.97,2.00,2.00
59.00,-28.08,1.33,3.11,2.00,4.00
60.00,59.31,-43.62,10.28,3.00,2.00
61.00,-11.79,-70.02,5.81,4.00,5.00
62.00,29.21,25.03,-15.45,1.00,12.00
63.00,-57.15,-14.60,-16.00,3.00,16.00
64.00,-43.32,1.48,47.52,1.00,9.00
65.00,-44.77,33.40,-8.63,1.00,9.00
66.00,31.04,55.25,14.24,1.00,12.00
67.00,-8.43,-32.98,45.06,2.00,1.00
68.00,-41.50,13.56,-28.19,3.00,16.00
69.00,0.16,0.33,41.51,2.00,1.00
70.00,13.42,-77.19,38.55,4.00,7.00
71.00,-43.02,-66.47,39.74,3.00,14.00
72.00,46.80,7.96,-10.09,2.00,4.00
73.00,-13.09,6.00,13.55,1.00,11.00
74.00,46.34,-72.94,15.42,4.00,8.00
75.00,37.05,-12.25,-26.46,3.00,15.00
76.00,-58.51,-7.82,25.49,2.00,2.00
77.00,7.83,-73.81,5.75,4.00,5.00
78.00,-17.50,-15.59,69.64,2.00,1.00
79.00,0.15,52.25,25.87,3.00,13.00
80.00,-19.22,-6.49,-16.29,3.00,15.00
81.00,40.19,-42.52,48.35,2.00,3.00
82.00,13.09,-0.61,16.61,1.00,11.00
83.00,-26.76,12.19,55.61,1.00,9.00
84.00,-29.73,-35.68,61.86,2.00,1.00
85.00,-34.08,-80.96,25.65,4.00,8.00
86.00,59.33,-0.86,25.57,2.00,2.00
87.00,-58.57,-48.33,-8.62,1.00,9.00
88.00,47.44,-52.32,-17.09,4.00,8.00
89.00,-51.82,-2.97,-28.73,3.00,16.00
90.00,35.34,-86.19,9.21,4.00,6.00
91.00,-9.81,62.45,13.92,3.00,13.00
92.00,17.30,-54.98,2.86,4.00,5.00
93.00,27.82,34.94,41.33,3.00,14.00
94.00,54.47,-27.96,-0.60,3.00,16.00
95.00,-6.95,-92.63,1.44,4.00,5.00
96.00,1.60,56.71,-7.60,3.00,13.00
97.00,30.29,6.83,-19.38,3.00,15.00
98.00,1.85,-23.29,67.76,2.00,1.00
99.00,-29.19,12.70,-17.19,3.00,12.00
100.00,42.45,49.81,-5.01,1.00,10.00
101.00,-26.25,-73.57,40.43,4.00,7.00
102.00,44.00,1.60,49.08,1.00,3.00
103.00,-56.66,-28.38,36.42,2.00,3.00
104.00,-56.95,-48.18,8.70,3.00,2.00
105.00,55.25,5.50,5.25,2.00,4.00
106.00,-40.18,-12.77,12.41,2.00,2.00
107.00,-28.12,-37.32,-11.88,3.00,15.00
108.00,0.66,-14.53,51.09,2.00,1.00
109.00,28.00,44.18,-14.18,1.00,10.00
110.00,-30.87,38.64,33.27,1.00,12.00
111.00,30.17,18.17,52.04,1.00,10.00
112.00,60.88,-30.63,25.75,2.00,4.00
113.00,-44.89,-0.12,-14.83,2.00,2.00
114.00,-26.00,-92.41,11.49,4.00,6.00
115.00,29.24,-67.33,46.71,4.00,7.00
116.00,-9.46,47.20,39.53,3.00,13.00
117.00,23.85,-12.88,67.12,2.00,1.00
118.00,14.82,14.69,6.75,1.00,11.00
119.00,-14.85,-65.74,55.41,4.00,7.00
120.00,40.24,-10.52,-4.68,2.00,2.00
121.00,21.65,-68.96,-11.87,4.00,6.00
122.00,10.21,63.16,9.68,3.00,13.00
123.00,54.50,-2.80,-26.20,3.00,16.00
124.00,-49.85,23.54,8.77,1.00,9.00
125.00,17.15,-89.05,21.65,4.00,5.00
126.00,52.94,-61.12,0.97,4.00,8.00
127.00,51.36,28.85,4.59,1.00,12.00
128.00,-31.95,-20.69,-18.83,3.00,15.00
129.00,-56.93,-10.21,4.82,2.00,2.00
130.00,-8.23,-74.53,40.45,4.00,14.00
131.00,1.16,-4.05,4.53,1.00,11.00
132.00,-0.26,31.60,44.84,1.00,9.00
133.00,-46.81,-71.48,11.57,4.00,8.00
134.00,-44.78,27.17,25.76,1.00,9.00
135.00,57.89,-7.12,-8.53,3.00,2.00
136.00,-51.75,-13.68,39.85,2.00,1.00
137.00,21.00,-11.56,-16.78,3.00,15.00
138.00,-34.55,-53.05,49.17,1.00,7.00
139.00,53.45,-11.15,38.81,2.00,1.00
140.00,-21.50,-91.46,-12.71,4.00,6.00
141.00,-36.43,-77.53,-15.40,4.00,6.00
142.00,-0.41,21.04,-8.64,3.00,15.00
143.00,10.43,1.66,65.84,2.00,1.00
144.00,9.86,-63.04,55.79,4.00,7.00
145.00,51.47,21.25,20.57,1.00,3.00
146.00,-54.16,7.63,17.26,1.00,3.00
147.00,44.83,-64.45,38.91,3.00,14.00
148.00,-26.05,52.45,22.70,1.00,12.00
149.00,32.47,44.80,27.44,1.00,12.00
150.00,-41.06,49.43,-3.62,1.00,9.00
151.00,32.68,-77.53,30.34,4.00,8.00
152.00,-43.45,-37.29,48.05,2.00,3.00
153.00,27.82,-48.95,-13.61,4.00,5.00
154.00,-8.72,20.00,60.00,1.00,9.00
155.00,-1.24,-54.49,38.35,3.00,14.00
156.00,30.17,-87.11,-11.16,4.00,6.00
157.00,-14.79,-74.07,-10.59,4.00,5.00
158.00,26.41,1.47,-0.41,1.00,4.00
159.00,-13.91,-52.47,-1.15,4.00,5.00
160.00,55.54,-28.76,43.37,2.00,3.00
161.00,45.09,13.89,-23.93,3.00,16.00
162.00,-8.20,0.85,65.78,2.00,1.00
163.00,-27.69,57.69,4.46,1.00,10.00
164.00,-47.23,5.41,2.14,2.00,4.00
165.00,43.76,-24.49,15.59,2.00,2.00
166.00,12.05,43.28,45.44,3.00,13.00
167.00,13.22,21.65,59.11,1.00,12.00
168.00,-18.96,-52.15,64.79,4.00,7.00
169.00,-27.56,-57.52,-13.72,4.00,5.00
170.00,-21.96,30.71,46.93,3.00,13.00
171.00,14.61,56.78,28.83,3.00,13.00
172.00,8.24,-86.35,-12.75,4.00,6.00
173.00,-46.67,14.40,-11.95,1.00,12.00
174.00,-4.29,-52.43,57.71,4.00,7.00
175.00,30.61,-0.73,-36.67,3.00,16.00
176.00,-15.53,-29.77,-19.43,3.00,15.00
177.00,-43.09,-30.86,14.82,2.00,2.00
