label,anatomy,,,Q,PACE
89.00,-51.82,-2.97,-28.73,2.00,12.00
90.00,35.34,-86.19,9.21,3.00,1.00
91.00,-9.81,62.45,13.92,2.00,10.00
92.00,17.30,-54.98,2.86,3.00,2.00
93.00,27.82,34.94,41.33,2.00,9.00
94.00,54.47,-27.96,-0.60,1.00,5.00
95.00,-6.95,-92.63,1.44,3.00,1.00
96.00,1.60,56.71,-7.60,2.00,10.00
97.00,30.29,6.83,-19.38,2.00,12.00
98.00,1.85,-23.29,67.76,1.00,7.00
99.00,-29.19,12.70,-17.19,2.00,12.00
100.00,42.45,49.81,-5.01,4.00,13.00
101.00,-26.25,-73.57,40.43,3.00,4.00
102.00,44.00,1.60,49.08,4.00,8.00
103.00,-56.66,-28.38,36.42,1.00,8.00
104.00,-56.95,-48.18,8.70,1.00,5.00
105.00,55.25,5.50,5.25,1.00,6.00
106.00,-40.18,-12.77,12.41,1.00,5.00
107.00,-28.12,-37.32,-11.88,2.00,11.00
108.00,0.66,-14.53,51.09,1.00,7.00
109.00,28.00,44.18,-14.18,4.00,13.00
110.00,-30.87,38.64,33.27,4.00,15.00
111.00,30.17,18.17,52.04,4.00,13.00
112.00,60.88,-30.63,25.75,1.00,6.00
113.00,-44.89,-0.12,-14.83,1.00,5.00
114.00,-26.00,-92.41,11.49,3.00,1.00
115.00,29.24,-67.33,46.71,3.00,4.00
116.00,-9.46,47.20,39.53,2.00,10.00
117.00,23.85,-12.88,67.12,1.00,7.00
118.00,14.82,14.69,6.75,4.00,16.00
119.00,-14.85,-65.74,55.41,3.00,4.00
120.00,40.24,-10.52,-4.68,1.00,5.00
121.00,21.65,-68.96,-11.87,3.00,1.00
122.00,10.21,63.16,9.68,2.00,10.00
123.00,54.50,-2.80,-26.20,2.00,12.00
124.00,-49.85,23.54,8.77,4.00,14.00
125.00,17.15,-89.05,21.65,3.00,1.00
126.00,52.94,-61.12,0.97,3.00,3.00
127.00,51.36,28.85,4.59,4.00,15.00
128.00,-31.95,-20.69,-18.83,2.00,11.00
129.00,-56.93,-10.21,4.82,1.00,5.00
130.00,-8.23,-74.53,40.45,3.00,9.00
131.00,1.16,-4.05,4.53,4.00,16.00
132.00,-0.26,31.60,44.84,4.00,14.00
133.00,-46.81,-71.48,11.57,3.00,3.00
134.00,-44.78,27.17,25.76,4.00,14.00
135.00,57.89,-7.12,-8.53,1.00,5.00
136.00,-51.75,-13.68,39.85,1.00,7.00
137.00,21.00,-11.56,-16.78,2.00,11.00
138.00,-34.55,-53.05,49.17,4.00,4.00
139.00,53.45,-11.15,38.81,1.00,7.00
140.00,-21.50,-91.46,-12.71,3.00,1.00
141.00,-36.43,-77.53,-15.40,3.00,1.00
142.00,-0.41,21.04,-8.64,2.00,11.00
143.00,10.43,1.66,65.84,1.00,7.00
144.00,9.86,-63.04,55.79,3.00,4.00
145.00,51.47,21.25,20.57,4.00,13.00
146.00,-54.16,7.63,17.26,1.00,6.00
147.00,44.83,-64.45,38.91,2.00,9.00
148.00,-26.05,52.45,22.70,4.00,15.00
149.00,32.47,44.80,27.44,4.00,15.00
150.00,-41.06,49.43,-3.62,4.00,14.00
151.00,32.68,-77.53,30.34,3.00,3.00
152.00,-43.45,-37.29,48.05,1.00,8.00
153.00,27.82,-48.95,-13.61,3.00,2.00
154.00,-8.72,20.00,60.00,4.00,15.00
155.00,-1.24,-54.49,38.35,2.00,9.00
156.00,30.17,-87.11,-11.16,3.00,1.00
157.00,-14.79,-74.07,-10.59,3.00,1.00
158.00,26.41,1.47,-0.41,4.00,6.00
159.00,-13.91,-52.47,-1.15,3.00,2.00
160.00,55.54,-28.76,43.37,1.00,8.00
161.00,45.09,13.89,-23.93,2.00,12.00
162.00,-8.20,0.85,65.78,1.00,7.00
163.00,-27.69,57.69,4.46,4.00,14.00
164.00,-47.23,5.41,2.14,1.00,6.00
165.00,43.76,-24.49,15.59,1.00,5.00
166.00,12.05,43.28,45.44,2.00,10.00
167.00,13.22,21.65,59.11,4.00,15.00
168.00,-18.96,-52.15,64.79,3.00,4.00
169.00,-27.56,-57.52,-13.72,3.00,2.00
170.00,-21.96,30.71,46.93,2.00,10.00
171.00,14.61,56.78,28.83,2.00,10.00
172.00,8.24,-86.35,-12.75,3.00,1.00
173.00,-46.67,14.40,-11.95,1.00,15.00
174.00,-4.29,-52.43,57.71,3.00,4.00
175.00,30.61,-0.73,-36.67,2.00,12.00
176.00,-15.53,-29.77,-19.43,2.00,11.00
177.00,-43.09,-30.86,14.82,1.00,5.00
